protein1 protein2 experimental database textmining combined_score
237561.A0A1D8PC38 237561.Q5AHH0 292 0 0 292
237561.A0A1D8PC56 237561.Q5A357 188 0 0 188
237561.A0A1D8PC56 237561.A0A1D8PGQ5 199 166 0 303
237561.A0A1D8PC56 237561.Q59VP7 199 0 0 199
237561.A0A1D8PC56 237561.A0A1D8PEV4 142 110 0 203
237561.A0A1D8PC56 237561.Q5A6M9 117 113 0 183
237561.A0A1D8PC56 237561.A0A1D8PL99 335 0 0 335
237561.A0A1D8PC56 237561.A0A1D8PS14 117 102 0 173
237561.A0A1D8PC56 237561.A0A1D8PL68 188 58 0 202
237561.A0A1D8PC56 237561.Q59TA2 199 0 0 199
237561.A0A1D8PC56 237561.A0A1D8PLY2 199 0 0 199
237561.A0A1D8PC56 237561.Q5AK02 188 0 0 188
237561.A0A1D8PC56 237561.A0A1D8PRP9 188 219 0 338
237561.A0A1D8PC56 237561.Q59PZ4 199 0 0 199
237561.A0A1D8PC56 237561.Q5APF0 195 0 0 195
237561.A0A1D8PC56 237561.Q5ALV6 335 0 0 335
237561.A0A1D8PC56 237561.Q5AB87 335 232 0 467
237561.A0A1D8PC56 237561.A0A1D8PDP4 188 0 0 188
237561.A0A1D8PC56 237561.Q5AJF7 347 91 0 381
237561.A0A1D8PC56 237561.A0A1D8PCX8 335 228 0 464
237561.A0A1D8PC56 237561.Q59L13 347 0 0 347
237561.A0A1D8PC56 237561.Q59ZI7 188 215 0 335
237561.A0A1D8PC56 237561.A0A1D8PK61 188 0 0 188
237561.A0A1D8PC56 237561.A0A1D8PDL6 188 220 0 339
237561.A0A1D8PC56 237561.Q59T44 335 0 0 335
237561.A0A1D8PC56 237561.Q5A6Q6 188 0 85 225
237561.A0A1D8PC56 237561.Q5A900 335 0 0 335
237561.A0A1D8PC56 237561.A0A1D8PM41 335 224 0 461
237561.A0A1D8PC56 237561.Q5ANA1 188 220 0 339
237561.A0A1D8PC56 237561.A0A1D8PPT5 188 111 0 247
237561.A0A1D8PC56 237561.A0A1D8PH21 335 108 0 381
237561.A0A1D8PC56 237561.A0A1D8PCQ5 335 234 0 468
237561.A0A1D8PC56 237561.A0A1D8PKK1 199 0 0 199
237561.A0A1D8PC56 237561.Q5A9A9 199 0 0 199
237561.A0A1D8PC56 237561.Q59P36 199 0 0 199
237561.A0A1D8PC56 237561.A0A1D8PG16 335 227 0 463
237561.A0A1D8PC56 237561.Q59KF3 199 0 0 199
237561.A0A1D8PC56 237561.A0A1D8PMJ1 199 0 0 199
237561.A0A1D8PC56 237561.A0A1D8PSC5 335 246 0 477
237561.A0A1D8PC56 237561.A0A1D8PDU3 335 0 0 335
237561.A0A1D8PC56 237561.A0A1D8PSE8 125 127 0 203
237561.A0A1D8PC56 237561.Q5ANL6 117 113 0 183
237561.A0A1D8PC56 237561.A0A1D8PPS1 335 272 0 495
237561.A0A1D8PC56 237561.Q5AEN2 335 268 0 492
237561.A0A1D8PC56 237561.Q59SI1 344 0 0 343
237561.A0A1D8PC56 237561.Q5AA46 188 0 0 188
237561.A0A1D8PC56 237561.Q59LS1 335 234 0 468
