protein1,protein2,experimental
A0A1D8PC56,P25997,921
A0A1D8PC56,A0A1D8PTY4,921
A0A1D8PC77,A0A1D8PIV7,832
A0A1D8PC77,A0A1D8PFL7,832
A0A1D8PC77,A0A1D8PFZ8,743
A0A1D8PC77,Q5A2A0,832
A0A1D8PC97,A0A1D8PTV4,832
A0A1D8PCA6,A0A1D8PRX3,832
A0A1D8PCA6,Q5A326,832
A0A1D8PCA6,A0A1D8PE86,832
A0A1D8PCA6,A0A1D8PMT3,832
A0A1D8PCA6,A0A1D8PM98,832
A0A1D8PCA6,Q5ADM0,832
A0A1D8PCA6,A0A1D8PMB5,832
A0A1D8PCA8,P28870,953
A0A1D8PCA8,A0A1D8PP58,953
A0A1D8PCC8,Q59ZG6,832
A0A1D8PCD0,Q59QT0,832
A0A1D8PCD0,Q5A8Y5,832
A0A1D8PCD0,Q5A462,832
A0A1D8PCD0,Q59Z24,832
A0A1D8PCD0,A0A1D8PFJ8,832
A0A1D8PCD0,Q59MZ8,832
A0A1D8PCD0,Q5ALX3,832
A0A1D8PCD0,A0A1D8PH80,832
A0A1D8PCD0,Q5A8Y7,832
A0A1D8PCD0,A0A1D8PUA6,832
A0A1D8PCD0,A0A1D8PLR5,832
A0A1D8PCD0,A0A1D8PFX2,832
A0A1D8PCD3,A0A1D8PJA6,832
A0A1D8PCD3,A0A1D8PJ73,832
A0A1D8PCD3,A0A1D8PE69,832
A0A1D8PCD3,Q9B8D2,786
A0A1D8PCD3,A0A1D8PQU3,832
A0A1D8PCD3,A0A1D8PEH4,832
A0A1D8PCD3,Q59TD5,832
A0A1D8PCD3,Q9B8D6,832
A0A1D8PCD3,A0A1D8PEJ9,832
A0A1D8PCD3,Q9B8D1,832
A0A1D8PCD3,Q9B8C8,832
A0A1D8PCD3,A0A1D8PRX9,832
A0A1D8PCD3,Q9B8C9,832
A0A1D8PCD3,A0A1D8PJX3,794
A0A1D8PCD3,Q5AJG7,832
A0A1D8PCD3,A0A1D8PDI3,832
A0A1D8PCD3,Q5ADP7,832
A0A1D8PCD3,A0A1D8PHA3,832
A0A1D8PCD3,A0A1D8PG37,832
A0A1D8PCD3,A0A1D8PU51,832
A0A1D8PCD3,Q59Y38,832
A0A1D8PCD3,Q5AH07,832
A0A1D8PCD3,Q5ABD5,832
A0A1D8PCD3,A0A1D8PHY0,832
A0A1D8PCD3,Q5A222,832
A0A1D8PCD3,A0A1D8PPZ0,832
A0A1D8PCE7,A0A1D8PD51,832
A0A1D8PCE7,A0A1D8PDF4,822
A0A1D8PCE7,A0A1D8PHQ0,832
A0A1D8PCE7,Q59TN2,832
A0A1D8PCE7,Q59X53,832
A0A1D8PCE7,A0A1D8PDW1,832
A0A1D8PCE7,A0A1D8PLY1,832
A0A1D8PCG7,A0A1D8PFG4,925
A0A1D8PCG7,A0A1D8PEY9,925
A0A1D8PCG7,P83774,925
A0A1D8PCG7,Q5A6A1,925
A0A1D8PCG7,P25997,921
A0A1D8PCG7,Q5AJ93,925
A0A1D8PCG7,A0A1D8PSK2,925
A0A1D8PCG7,Q5ADQ6,925
A0A1D8PCG7,A0A1D8PSV5,925
A0A1D8PCG7,A0A1D8PK22,925
A0A1D8PCG7,A0A1D8PP14,925
A0A1D8PCG7,A0A1D8PCI6,861
A0A1D8PCG7,A0A1D8PI15,925
A0A1D8PCG7,O59931,925
A0A1D8PCG7,A0A1D8PDZ1,925
A0A1D8PCG7,A0A1D8PHW1,925
A0A1D8PCG7,A0A1D8PN83,898
A0A1D8PCG7,A0A1D8PLC9,925
A0A1D8PCG7,A0A1D8PQN0,925
A0A1D8PCG7,A0A1D8PCW6,925
A0A1D8PCG7,A0A1D8PPN6,925
A0A1D8PCG7,A0A1D8PTI7,861
A0A1D8PCG7,P40910,925
A0A1D8PCG7,Q5AIB8,925
A0A1D8PCG7,A0A1D8PK43,925
A0A1D8PCG7,A0A1D8PDT3,925
A0A1D8PCG7,A0A1D8PHH4,925
A0A1D8PCG7,Q5AG43,925
A0A1D8PCG7,A0A1D8PQS0,832
A0A1D8PCG7,A0A1D8PTY4,921
A0A1D8PCG7,A0A1D8PF45,925
A0A1D8PCG7,A0A1D8PF57,861
A0A1D8PCG7,A0A1D8PK40,925
A0A1D8PCG7,Q5A109,925
A0A1D8PCG7,A0A1D8PGY8,925
A0A1D8PCG7,O42817,925
A0A1D8PCG7,A0A1D8PPE0,925
A0A1D8PCG7,Q5A6R1,925
A0A1D8PCG7,A0A1D8PK30,925
A0A1D8PCG7,A0A1D8PTR4,925
A0A1D8PCG7,A0A1D8PFL9,925
A0A1D8PCG7,A0A1D8PK71,816
A0A1D8PCG7,A0A1D8PNQ6,925
A0A1D8PCG7,A0A1D8PL68,861
A0A1D8PCG7,A0A1D8PL99,925
A0A1D8PCG7,P0CU35,861
A0A1D8PCG7,A0A1D8PEV4,833
A0A1D8PCG7,Q5AJF7,832
A0A1D8PCG7,A0A1D8PCX8,925
A0A1D8PCG7,Q5ALV6,925
A0A1D8PCG7,Q96W54,861
A0A1D8PCG7,Q5AB87,925
A0A1D8PCG7,A0A1D8PCQ5,925
A0A1D8PCG7,A0A1D8PH21,925
A0A1D8PCG7,Q59T44,925
A0A1D8PCG7,A0A1D8PDL6,925
A0A1D8PCG7,A0A1D8PK61,861
A0A1D8PCG7,Q5ANA1,861
A0A1D8PCG7,A0A1D8PPT5,925
A0A1D8PCG7,A0A1D8PM41,925
A0A1D8PCG7,Q5A900,925
A0A1D8PCG7,A0A1D8PG16,925
A0A1D8PCG7,A0A1D8PM75,925
