protein1 protein2 experimental database textmining combined_score
284812.A0ZWU1 284812.O13868 0 540 0 540
284812.A0ZWU1 284812.O42668 0 720 0 720
284812.A0ZWU1 284812.P50515 516 342 390 788
284812.A0ZWU1 284812.O14265 516 342 50 671
284812.A0ZWU1 284812.P36595 0 500 0 499
284812.A0ZWU1 284812.Q9US06 0 720 0 720
284812.A0ZWU1 284812.Q09191 0 500 0 499
284812.A0ZWU1 284812.O59671 0 720 0 720
284812.A0ZWU1 284812.O13742 516 566 215 820
284812.A0ZWU1 284812.O43046 516 566 189 814
284812.A0ZWU1 284812.P48011 0 500 0 499
284812.A0ZWU1 284812.Q09150 0 540 0 540
284812.A0ZWU1 284812.Q9URZ8 272 270 246 564
284812.A0ZWU1 284812.O74635 0 500 0 499
284812.A0ZWU1 284812.P31411 516 566 399 862
284812.A0ZWU1 284812.O74627 0 720 0 720
284812.A0ZWU1 284812.Q9USP1 0 540 0 540
284812.A0ZWU1 284812.P36594 0 500 0 499
284812.A0ZWU1 284812.Q9P376 0 800 0 800
284812.A0ZWU1 284812.O13877 0 500 0 499
284812.A0ZWU1 284812.Q9Y7V2 0 500 0 499
284812.A0ZWU1 284812.Q9HDW6 516 0 309 651
284812.A0ZWU1 284812.O13687 516 566 210 819
284812.A0ZWU1 284812.Q9UUE7 0 720 0 720
284812.A0ZWU1 284812.Q02061 0 500 0 499
284812.A0ZWU1 284812.Q9USJ8 0 900 0 900
284812.A0ZWU1 284812.Q9P7X2 457 900 0 943
284812.A0ZWU1 284812.O42964 0 800 0 800
284812.A0ZWU1 284812.O94267 0 900 0 900
284812.A0ZWU1 284812.O13936 0 900 0 900
284812.A0ZWU1 284812.P87123 0 500 0 499
284812.A0ZWU1 284812.O14098 0 720 0 720
284812.A0ZWU1 284812.O14459 0 500 0 499
284812.A0ZWU1 284812.Q9USX9 0 720 0 720
284812.A0ZWU1 284812.Q92399 0 500 0 499
284812.A0ZWU1 284812.O59823 516 566 324 845
284812.A0ZWU1 284812.O74825 0 500 0 499
284812.A0ZWU1 284812.O94529 0 900 0 900
284812.A0ZWU1 284812.Q9P7K8 0 900 0 900
284812.A0ZWU1 284812.O74174 516 0 0 516
284812.A0ZWU1 284812.Q09915 0 800 0 800
284812.A0ZWU1 284812.P49373 0 500 0 499
284812.A0ZWU1 284812.O13753 516 566 142 804
284812.A0ZWU1 284812.Q92360 292 900 0 926
284812.A0ZWU1 284812.P37382 0 500 0 499
284812.A0ZWU1 284812.O14046 516 342 297 756
284812.A0ZWU1 284812.P21537 154 270 150 429
284812.A0ZWU1 284812.Q9P6R2 0 720 0 720
284812.A0ZWU1 284812.O94667 0 720 0 720
284812.A0ZWU1 284812.Q96WV9 0 720 0 720
284812.A0ZWU1 284812.O94424 0 500 0 499
284812.A0ZWU1 284812.O94416 0 500 0 499
284812.A0ZWU1 284812.O59748 0 720 0 720
284812.A6X972 284812.Q9P7N1 0 720 0 720
284812.A6X972 284812.O94637 0 720 0 720
284812.A6X972 284812.Q10220 0 720 452 840
284812.A6X972 284812.Q9P7J3 0 720 0 720
284812.A6X978 284812.P47979 292 0 0 292
284812.A6X980 284812.O14229 960 800 0 991
284812.A6X980 284812.O74857 0 500 0 499
284812.A6X980 284812.Q09728 564 0 0 564
284812.A6X980 284812.O13896 0 500 0 499
284812.A6X980 284812.Q9C106 0 500 0 499
284812.A6X980 284812.O94666 0 500 0 499
284812.A6X980 284812.Q9C0Z9 0 500 0 499
284812.A6X980 284812.O94285 0 500 0 499
284812.A6X980 284812.O13877 0 500 0 499
284812.A6X980 284812.Q9P6R0 0 720 0 720
284812.A6X980 284812.O74883 0 500 0 499
284812.A6X980 284812.O94616 0 500 0 499
284812.A6X980 284812.O94481 0 720 0 720
284812.A6X980 284812.Q8WZJ8 0 500 0 499
284812.A6X980 284812.P17871 0 720 0 720
284812.A6X980 284812.O94553 0 500 0 499
284812.A6X980 284812.P48011 0 500 0 499
284812.A6X980 284812.O13650 0 800 0 800
284812.A6X980 284812.P36595 0 500 0 499
284812.A6X980 284812.O60174 0 800 0 800
284812.A6X980 284812.O74458 0 800 0 800
284812.A6X980 284812.Q92399 0 500 0 499
284812.A6X980 284812.Q09191 0 500 0 499
284812.A6X980 284812.Q9UST7 0 800 0 800
284812.A6X980 284812.Q10233 0 500 0 499
284812.A6X980 284812.Q9Y7R3 230 0 0 229
284812.A6X982 284812.O74379 294 0 0 294
284812.A6X982 284812.O42919 294 0 0 294
284812.A6X982 284812.O60118 532 0 0 532
284812.A6X982 284812.O74485 0 720 0 720
284812.A6X982 284812.Q9UTK2 532 0 0 532
284812.A6X982 284812.P0CT73 267 0 0 267
284812.A6X982 284812.P57728 160 0 0 159
284812.A6X982 284812.P0CT83 203 0 0 203
284812.A6X982 284812.O59677 655 0 0 655
284812.A6X982 284812.P0CT74 267 0 0 267
284812.A6X982 284812.O60072 47 720 245 780
284812.A6X982 284812.O13855 58 720 289 796
284812.A6X982 284812.Q9Y7M5 532 0 0 532
284812.A6X982 284812.Q9UQX0 294 0 0 294
284812.A6X982 284812.O94314 374 0 0 374
284812.A6X982 284812.Q9P6P6 532 0 0 532
284812.A6X982 284812.O94345 532 0 0 532
284812.A6X982 284812.O42854 280 0 0 280
284812.A6X982 284812.Q10215 655 0 0 655
284812.A6X982 284812.P87232 532 0 0 532
284812.A6X982 284812.O94398 532 0 0 532
284812.A6X982 284812.P36585 160 0 0 159
284812.A6X982 284812.P78946 345 0 0 345
284812.A6X982 284812.P36600 217 0 0 217
284812.A6X982 284812.P0CT84 203 0 0 203
284812.A6X982 284812.Q9UUC8 532 0 0 532
284812.A6X982 284812.Q9UTA6 374 0 0 374
284812.A6X982 284812.Q9UUB0 655 0 0 655
284812.A6X982 284812.P18253 280 0 0 280
284812.A6X995 284812.O42882 360 0 0 360
284812.A6X995 284812.O13681 230 0 0 229
284812.A9ZLL8 284812.P47979 292 0 0 292
284812.A9ZLL8 284812.Q10156 292 0 0 292
284812.A9ZLL8 284812.O13648 164 0 0 163
284812.B5BP46 284812.O74173 301 700 272 834
284812.B8Y7Y5 284812.O74897 0 900 0 900
284812.B8Y7Y5 284812.Q9P7S9 292 900 0 926
284812.B8Y7Y5 284812.Q10210 0 900 0 900
284812.B8Y7Y5 284812.O14308 0 900 0 900
284812.B8Y7Y5 284812.O42648 0 720 0 720
284812.B8Y7Y5 284812.O13682 0 900 0 900
284812.B8Y7Y5 284812.P48003 0 900 0 900
284812.B8Y7Y5 284812.Q9UT79 0 900 0 900
284812.B8Y7Y5 284812.P10989 292 900 0 926
284812.B8Y7Y5 284812.Q9US07 292 900 0 926
284812.B8Y7Y5 284812.Q9UTE8 292 900 0 926
284812.B8Y7Y5 284812.O14148 292 900 0 926
284812.B8Y7Y5 284812.P36616 292 0 0 292
284812.B8Y7Y5 284812.Q9C0X6 292 900 0 926
284812.B8Y7Y5 284812.Q9P790 0 900 0 900
284812.B8Y7Y5 284812.O59669 0 900 0 900
284812.B8Y7Y5 284812.Q9Y7N0 0 900 0 900
284812.B8Y7Y5 284812.Q9Y7X8 292 900 0 926
284812.B8Y7Y5 284812.P01129 292 0 0 292
284812.B8Y7Y5 284812.O94436 292 720 0 793
284812.B8Y7Y5 284812.Q9P7Z9 0 720 0 720
284812.B8Y7Y5 284812.O14210 292 720 0 793
284812.B8Y7Y5 284812.Q10319 0 900 0 900
284812.B8Y7Y5 284812.O94241 0 900 0 900
284812.B8Y7Y5 284812.Q9UTM0 292 900 0 926
284812.B8Y7Y5 284812.O94704 0 900 0 900
284812.B8Y7Y5 284812.Q9P7X7 292 900 0 926
284812.B8Y7Y5 284812.O94692 292 900 0 926
284812.B8Y7Y5 284812.Q09849 0 720 0 720
284812.B8Y7Y5 284812.O74954 292 0 0 292
284812.B8Y7Y5 284812.O59773 0 540 0 540
284812.C6Y4A3 284812.P22068 133 720 0 746
284812.C6Y4A3 284812.Q9URZ8 55 720 0 724
284812.C6Y4A3 284812.Q09774 0 720 0 720
284812.C6Y4A3 284812.Q69Z14 0 720 0 720
284812.C6Y4A3 284812.O13753 0 720 0 720
284812.C6Y4A3 284812.O94373 133 720 0 746
284812.C6Y4A3 284812.O94377 133 720 0 746
284812.C6Y4A3 284812.P50515 55 720 0 724
284812.C6Y4A3 284812.Q9P6R6 133 720 0 746
284812.C6Y4A3 284812.O94390 133 720 0 746
284812.C6Y4A3 284812.P24487 133 540 0 584
284812.C6Y4A3 284812.P21536 0 720 0 720
284812.C6Y4A3 284812.O59673 0 720 0 720
284812.C6Y4A3 284812.O13931 133 720 0 746
284812.C6Y4A3 284812.P21535 324 720 0 802
284812.C6Y4A3 284812.O74754 133 720 0 746
284812.C6Y4A3 284812.Q9URV6 0 720 0 720
284812.C6Y4A3 284812.O14046 55 720 0 724
284812.C6Y4A3 284812.O74479 133 720 0 746
284812.C6Y4A3 284812.P87316 133 720 0 746
284812.C6Y4A3 284812.P21537 133 720 0 746
284812.C6Y4A3 284812.O13742 0 720 0 720
284812.C6Y4A4 284812.O13681 230 0 0 229
284812.C6Y4A4 284812.O13961 230 0 0 229
284812.C6Y4A4 284812.Q10109 230 0 0 229
284812.C6Y4A5 284812.O13765 59 0 162 177
284812.C6Y4A7 284812.Q9P787 549 720 0 868
284812.C6Y4A7 284812.O13981 549 720 192 889
284812.C6Y4A7 284812.O94520 298 720 257 841
284812.C6Y4A7 284812.O59764 549 720 219 892
284812.C6Y4A7 284812.O60110 549 720 202 890
284812.C6Y4A7 284812.O94694 0 720 0 720
284812.C6Y4A8 284812.O74824 292 0 0 292
284812.C6Y4A8 284812.O42656 0 720 0 720
284812.C6Y4A8 284812.O74544 292 0 0 292
284812.C6Y4A8 284812.G2TRJ4 0 720 486 849
284812.C6Y4A8 284812.O60183 0 720 0 720
284812.C6Y4A8 284812.P56288 0 540 0 540
284812.C6Y4A8 284812.C6Y4C6 0 720 635 893
284812.C6Y4A8 284812.Q9Y7J2 0 720 647 896
284812.C6Y4B0 284812.O42882 360 0 0 360
284812.C6Y4B3 284812.O36022 0 540 0 540
284812.C6Y4B3 284812.O94633 0 540 0 540
284812.C6Y4B3 284812.O14466 0 540 0 540
284812.C6Y4B3 284812.Q09712 0 720 0 720
284812.C6Y4B3 284812.O13640 0 540 0 540
284812.C6Y4B3 284812.Q9USW6 0 540 0 540
284812.C6Y4B3 284812.Q9UT67 0 540 0 540
284812.C6Y4B3 284812.O74745 0 540 0 540
284812.C6Y4B3 284812.Q9UTR6 0 540 0 540
284812.C6Y4B3 284812.Q09174 0 540 0 540
284812.C6Y4B4 284812.O94489 364 0 0 364
284812.C6Y4B4 284812.O74892 266 0 0 266
284812.C6Y4B4 284812.Q10101 241 0 0 240
284812.C6Y4B4 284812.O74515 48 0 195 200
284812.C6Y4B4 284812.O94294 97 0 202 248
284812.C6Y4B4 284812.O60128 243 0 0 242
284812.C6Y4B4 284812.Q96WV6 0 0 165 165
284812.C6Y4B4 284812.O74329 239 0 0 238
284812.C6Y4B4 284812.O14134 518 0 0 518
284812.C6Y4B4 284812.O74893 243 0 0 242
284812.C6Y4B4 284812.P28189 243 0 0 242
284812.C6Y4B4 284812.Q10281 247 0 51 254
284812.C6Y4B4 284812.O74330 266 0 0 266
284812.C6Y4B4 284812.O94652 223 0 56 235
284812.C6Y4B5 284812.O13681 230 0 0 229
284812.C6Y4B5 284812.O13961 230 0 0 229
284812.C6Y4B5 284812.Q10109 230 0 0 229
284812.C6Y4B7 284812.O94708 162 0 186 288
284812.C6Y4B7 284812.Q9UUI5 311 0 276 479
284812.C6Y4B7 284812.Q01475 162 0 186 288
284812.C6Y4B7 284812.O94348 0 0 177 177
284812.C6Y4B7 284812.Q10659 0 0 161 161
284812.C6Y4B7 284812.Q9Y7L0 254 0 63 271
284812.C6Y4B7 284812.O94319 174 0 274 374
284812.C6Y4B7 284812.O13712 166 0 0 165
284812.C6Y4B7 284812.O13637 167 0 185 292
284812.C6Y4B7 284812.O14029 132 0 243 314
284812.C6Y4B7 284812.Q9USS7 292 0 249 445
284812.C6Y4B7 284812.Q9P6P5 0 0 246 245
284812.C6Y4B7 284812.O13644 0 0 165 165
284812.C6Y4B7 284812.O74843 167 0 185 292
284812.C6Y4B8 284812.O74820 44 0 156 158
284812.C6Y4B8 284812.Q09723 123 0 117 192
284812.C6Y4C0 284812.P37382 0 500 51 505
