protein1,protein2,label
P00572,P36065,0
E2QC18,P38842,0
P07257,Q02872,0
P0CX40,Q06267,0
P0CX29,P17076,1
A0A023PZE8,P40579,0
P54999,Q02775,1
P40162,Q99288,0
P38233,Q08058,0
P36082,P43639,0
A0A023PZC3,Q08182,0
P47173,Q05521,0
P25368,Q03831,0
P27654,Q12118,0
Q02159,Q04734,0
P25334,Q02721,0
A0A023PZG9,Q12082,0
P06787,Q03702,0
P39979,P53633,0
Q04502,Q07790,0
P32489,Q96VH2,0
P38325,Q06675,0
P0CX96,P53336,0
P48232,P50278,0
P47016,Q07953,0
P36027,P53308,0
P36025,Q04767,0
P07273,P38902,1
P02309,Q03433,1
O13564,P47145,0
P36036,Q12187,0
P25637,P36099,0
P53063,Q3E827,0
Q06449,Q12163,0
P16370,Q3E744,0
P12887,Q08728,0
P32772,P36164,0
Q02774,Q12416,0
P29589,Q12288,0
P32628,P40898,0
Q03433,Q12248,0
P49334,Q08533,0
P05756,Q06524,0
P0CY00,P36108,0
P0CX48,Q12336,0
P36526,P47153,0
O14464,P25299,0
P43569,P53930,0
P47142,Q04272,1
P0CG63,Q12530,0
P32450,Q03772,0
O13520,P32835,0
P01123,P32332,0
P35731,Q03503,0
Q02710,Q04502,0
P0CX19,P46683,0
P04840,P39742,0
P07274,Q12245,0
A2P2R3,P05743,0
P40529,Q99176,0
P36072,Q99339,0
P38089,P52553,0
P00420,P0C5R9,0
Q08962,Q99188,0
O13531,P32502,0
A0A023PZI9,P38320,0
P43545,Q12182,0
P39972,Q12375,0
P36169,Q02895,0
A0A023PXN9,P10863,0
P38063,P38828,0
P10662,P36160,0
P40045,Q06089,0
P53896,Q12169,0
P53210,P53904,0
P10080,Q12378,0
P89888,Q08096,0
P25362,Q08742,0
P35202,P39972,0
P46669,Q06158,0
O94086,Q08786,0
P00546,Q06891,0
P49775,Q12476,0
P0CF21,Q04069,0
P05745,Q06511,1
P0CX52,P87287,0
P38711,P38986,0
P40319,Q12182,0
P22217,P25657,0
P32331,Q12004,0
P0CF19,Q04894,0
P53259,Q08498,0
P38231,Q03375,0
P53293,Q04413,0
P40056,P40440,0
P26783,P38794,0
P25087,Q12261,0
Q02521,Q12063,0
A0A023PYC6,P14681,0
P33754,Q6B0X1,0
E9PAD8,P23624,0
P38782,Q12003,0
Q12306,Q3E798,0
P53141,Q12208,0
P53717,P53720,0
P47011,Q12378,0
P40551,P40994,0
P32524,Q08963,1
P0CX42,P41734,0
P38191,Q12091,0
P25378,P28791,0
P40025,Q00453,0
A0A023PXK2,P40471,0
P15873,P53887,0
P36525,P43558,0
P38749,P40518,0
P53078,Q02710,0
Q03864,Q12006,0
P41816,Q02516,0
P38197,P47146,0
P10659,Q06815,0
P06838,P0CH64,0
P47019,Q02260,0
P53240,Q12284,0
P0C5P0,P13434,0
P0C5E1,Q12285,0
P32463,Q07651,0
P53155,Q07986,0
Q03375,Q06568,0
P23638,Q12322,0
P47124,Q04491,0
Q03886,Q04338,0
Q04751,Q3E751,0
P40461,Q03529,0
P36523,P38783,1
A0A023PXD3,Q12020,0
P08456,P25619,0
Q06697,Q07555,0
P0CX27,P39718,0
P0CX84,P23301,1
A0A023PYJ4,P28834,0
P32771,P39971,0
P18239,P40326,0
P53084,Q04019,0
P40473,P53981,0
O13521,P38774,0
Q2V2P8,Q99339,0
P22133,Q12160,0
Q03835,Q03913,0
Q03057,Q12125,0
P25613,P38341,0
P00950,Q04004,0
O13556,O14464,0
P47076,Q12477,0
Q08560,Q3E835,0
A0A023PXH4,P47020,0
P0CX46,Q12000,1
P25560,P40023,0
P35178,Q12155,0
P0CF20,Q02753,0
P40022,P53912,0
P47094,P53908,0
P53102,P53876,0
P39534,Q02046,0
P40448,P53238,0
P38909,P41544,0
P41816,P53837,0
Q03148,Q04178,0
P51601,Q3E827,0
P33399,Q12174,0
P40958,Q12225,0
P25604,P32357,0
P25559,Q12056,0
P00420,P32617,0
P40574,P40895,0
P36525,P47150,1
P47093,P89886,0
P15367,Q07949,0
P35735,Q99326,0
P31379,P43544,0
P38194,Q03913,0
P36169,P38155,0
P53220,Q12471,0
O13516,P39983,1
Q08543,Q6B0Z2,0
P38824,Q00246,0
O13586,P20435,0
P21651,Q08240,0
P47188,Q08993,0
P41896,P50105,0
P25616,P40045,0
P32570,Q3E784,0
P36010,P47822,0
P36073,P38343,0
P53240,Q03788,0
P0CX37,P0CX47,1
P38876,P53265,0
P15703,Q06217,0
P10863,P53237,0
P85052,Q02256,0
P40323,Q00582,0
Q07350,Q08963,1
P09007,Q06071,0
A0A023PYD7,P28319,0
P07266,P36082,0
P33330,Q04502,0
P53159,P53183,0
P0CX99,P47016,0
P0CX52,P32911,1
P52868,Q04359,0
P25342,P53957,0
P0CX31,P40455,0
P38727,Q12222,0
P38293,Q03322,0
P32611,P38175,1
P53156,Q12320,0
P38243,Q08259,0
P32911,P38275,0
P34222,Q12051,0
P11633,P39996,0
P41903,P48238,0
Q06688,Q08543,0
E9PAE4,P41805,0
P38204,Q12450,0
P38872,Q08205,0
P53721,Q04658,0
P11746,Q12350,0
P17891,Q03071,0
P06168,Q03879,0
P16370,P36131,0
P38263,P40078,0
Q07623,Q12225,0
P0CX46,Q08521,0
P87269,Q6B0Y8,0
P0C0W9,Q12029,0
A0A023PZK9,Q08238,0
P0CX54,Q08756,0
P87283,Q08786,0
O13570,P47123,0
P17558,P32387,1
P34227,P38771,0
P37293,Q08726,0
P53880,P53887,0
P33751,P53720,0
P49626,Q07541,0
P40491,Q03783,0
P53208,Q02804,0
Q04947,Q07988,0
P06104,P53112,0
P87262,Q06102,0
P53897,Q03864,0
P42844,Q3E790,0
P25294,P33303,0
P38786,P40558,0
P40479,P42941,0
Q08906,Q12094,0
Q08990,Q12219,0
P06197,Q12058,0
P0CX29,Q02961,0
P22203,P38633,0
A0A023PXD5,Q04430,0
Q07534,Q96VG6,0
Q06244,Q12165,0
P54999,P57743,1
A0A023PZE8,Q06636,0
P51996,P53195,0
Q12261,Q3E840,0
P38342,P40163,0
P47063,P53108,0
P38962,P47064,0
Q01976,Q03629,0
Q06648,Q12515,0
P06244,P38868,0
A0A023PZE4,P40574,0
P38615,P39551,0
P21825,P38307,0
P0C5N3,Q12191,0
P20459,P25443,1
Q04898,Q7LIF1,0
P32471,P40414,0
O13531,Q07790,0
P06168,Q8TGK0,0
P21651,P49334,0
Q12442,Q12531,0
P02407,Q05788,0
P42883,Q7LIF2,0
P38312,Q04651,0
P0CX41,Q08689,1
P32288,P53831,0
P53210,Q05521,0
P46988,Q03864,0
P05150,P25583,0
P29703,P32626,0
O13556,P39108,0
P33323,P53274,0
P43586,Q12320,0
O13533,P10080,0
P40302,P53078,0
P32616,P35197,0
P06182,Q06524,0
P50087,Q99326,0
P53073,P53964,0
P33122,Q99325,0
P38235,P38985,0
Q06287,Q08492,1
Q04019,Q04066,0
P39516,Q04066,0
P19516,P32449,0
P14724,Q6Q595,0
P01098,Q03695,0
P40481,Q08411,0
A0AAT9JAJ4,P23179,0
P47180,P50087,0
P0CX13,P0CX23,0
P20486,P38763,0
P38239,Q06636,0
P32332,Q02786,0
P38765,P53957,0
P32318,P33333,0
P17157,P53837,0
P28272,P38291,0
P25554,Q08553,0
P21734,P53268,0
P00358,Q12191,0
P38784,Q05926,0
P05150,P48239,0
Q05541,Q08474,0
P25366,P38787,0
P53078,Q07410,0
P40893,Q03630,0
P43558,Q12057,0
P14693,P53895,0
P01098,P87108,0
P40459,P53732,0
P0CE97,P40858,0
P53178,Q08230,0
Q12143,Q12350,0
P36079,Q12493,0
Q03430,Q03829,0
P0CE11,P53975,0
P43540,P53307,0
A0A023PYE4,P47009,0
O13571,P0CY07,0
P36138,Q02209,0
P39557,Q08110,0
P38354,Q12421,0
P32529,P32630,0
P04456,P0C0W1,1
P31378,Q07648,0
P05748,P40078,1
P38278,P38891,0
P17898,P31379,0
O13556,P08431,0
P05756,Q08634,0
P25560,P47143,0
P43566,Q96VH3,0
P38957,Q9ZZX7,0
Q03880,Q08673,0
P06781,P33204,0
P10355,P38287,0
P39972,P53747,0
P40154,Q03446,0
A0A023PYE9,Q08300,0
P36127,Q6Q595,0
P0CX43,P39995,0
P25601,P38113,0
P25650,P36042,0
P38616,Q08521,0
P25368,P40558,0
P38898,P47150,0
P53721,Q03390,0
P46948,P53288,0
O13575,Q05016,0
P0CX29,P38199,0
P33399,Q06608,0
O13553,P39552,0
P40011,Q05533,0
A0A023PXQ9,P32939,0
P07347,P35691,0
P39996,P47095,0
P22804,P32459,0
P23595,P32616,0
P05373,P46948,0
P06704,P53717,0
P22217,P25350,0
A0A023PYG5,P25602,0
P0CY01,Q12528,0
A0A023PXC2,P47140,0
P10962,P40006,0
P42836,Q03233,0
P36149,P43588,0
P01119,Q03290,0
Q12253,Q99258,0
P46955,P53928,0
P32464,P38311,0
P34246,P38175,0
O13579,P53132,0
P9WEJ3,Q3E754,0
P32344,P38730,0
