protein1,protein2,experimental
Q0045,YML030W,734
Q0045,YGL187C,985
Q0045,Q0275,985
Q0045,YLR395C,980
Q0045,Q0105,872
Q0045,YNR018W,944
Q0045,YMR256C,972
Q0045,YDR119W-A,926
Q0045,YFR033C,800
Q0045,YNL052W,950
Q0045,YPR191W,907
Q0045,YHR051W,985
Q0045,YDL067C,926
Q0045,YIL111W,934
Q0045,YGR183C,875
Q0045,YDR529C,865
Q0045,YEL024W,938
Q0045,YOR065W,875
Q0045,YGL191W,985
Q0045,YHR001W-A,909
Q0045,Q0250,985
Q0045,YLR038C,985
Q0045,YJL166W,835
Q0045,YBL045C,954
Q0080,YPL271W,800
Q0080,YML081C-A,972
Q0080,YDR298C,800
Q0080,YBL099W,944
Q0080,YBR039W,800
Q0080,YOL077W-A,800
Q0080,Q0085,972
Q0080,YLR295C,944
Q0080,YDR377W,926
Q0080,YPL078C,972
Q0080,YLR393W,734
Q0080,Q0130,900
Q0080,YDL004W,800
Q0080,YKL016C,972
Q0080,YJR121W,944
Q0085,YPL271W,957
Q0085,Q0080,972
Q0085,YDR298C,976
Q0085,YBL099W,957
Q0085,Q0275,734
Q0085,YOL077W-A,900
Q0085,YLR295C,944
Q0085,YKL016C,972
Q0085,YPR020W,825
Q0085,Q0130,992
Q0085,YML081C-A,972
Q0085,YBR039W,957
Q0085,YPL078C,972
Q0085,YDR377W,933
Q0085,YDL004W,957
Q0085,YJR121W,988
Q0085,YLR393W,734
Q0105,YEL024W,983
Q0105,YHR001W-A,915
Q0105,YJR048W,809
Q0105,YLR038C,971
Q0105,YBL045C,970
Q0105,Q0275,965
Q0105,YNR018W,800
Q0105,YDR119W-A,800
Q0105,YDL067C,800
Q0105,YHR051W,907
Q0105,YNL052W,832
Q0105,YIL111W,832
Q0105,YOR065W,991
Q0105,YGL191W,971
Q0105,Q0250,964
Q0105,YJL166W,987
Q0105,YML030W,734
Q0105,YGL187C,971
Q0105,YEL039C,809
Q0105,Q0045,872
Q0105,YLR395C,871
Q0105,YFR033C,816
Q0105,YMR256C,944
Q0105,YPR191W,956
Q0105,YDR529C,987
Q0105,YGR183C,972
Q0130,YLR295C,944
Q0130,YOL077W-A,800
Q0130,YKL016C,992
Q0130,YPR020W,825
Q0130,YPL271W,964
Q0130,Q0080,900
Q0130,YBL099W,987
Q0130,YDR298C,964
Q0130,YPL078C,987
Q0130,YDR377W,800
Q0130,Q0085,992
Q0130,YDL004W,982
Q0130,YJR121W,977
Q0130,YLR393W,734
Q0130,YML081C-A,944
Q0130,YBR039W,982
Q0140,YML009C,800
Q0140,YCR071C,800
Q0140,YCR003W,800
Q0140,YGR084C,800
Q0140,YDR237W,800
Q0140,YMR188C,800
Q0140,YDR175C,900
Q0140,YNL122C,800
Q0140,YHR059W,800
Q0140,YGR076C,800
Q0140,YBR122C,800
Q0140,YLR439W,800
Q0140,YIL093C,800
Q0140,YNR036C,800
Q0140,YNL177C,800
Q0140,YER050C,800
Q0140,YKR085C,800
Q0140,YJR113C,800
Q0140,YMR286W,800
Q0140,YMR193W,800
Q0140,YHR147C,800
Q0140,YPR100W,800
Q0140,YDR462W,800
Q0140,YGR150C,800
Q0140,YDR041W,900
Q0140,YDR347W,800
Q0140,YJL096W,800
Q0140,YBR251W,925
Q0140,YJL063C,800
Q0140,YNL005C,800
Q0140,YMR158W,800
Q0140,YMR024W,800
Q0140,YPR166C,900
Q0140,YKL003C,800
Q0140,YLR312W-A,800
Q0140,YNL306W,800
Q0140,YGR215W,900
Q0140,YCR046C,800
Q0140,YGL129C,800
Q0140,YBL038W,800
Q0140,YHL004W,852
Q0140,YDR337W,800
Q0140,YOR158W,800
Q0140,YOR150W,800
Q0140,YNR037C,800
Q0140,YDR322W,800
Q0140,YEL050C,800
Q0140,YPL183W-A,800
Q0140,YBR146W,800
Q0140,YPL173W,800
Q0140,YPL118W,800
Q0140,YBR282W,800
Q0140,YDL045W-A,800
