protein1 protein2 experimental database textmining combined_score
4932.Q0045 4932.YGR222W 292 0 0 292
4932.Q0045 4932.Q0120 170 0 166 278
4932.Q0045 4932.YML030W 734 0 0 734
4932.Q0045 4932.YIR024C 292 0 0 292
4932.Q0045 4932.YOL027C 287 0 0 286
4932.Q0045 4932.YML129C 457 0 0 457
4932.Q0045 4932.YEL039C 160 335 0 417
4932.Q0045 4932.Q0110 152 0 116 218
4932.Q0045 4932.YGL187C 985 933 546 999
4932.Q0045 4932.Q0275 985 939 553 999
4932.Q0045 4932.YGR033C 292 0 0 292
4932.Q0045 4932.YJL003W 292 0 0 292
4932.Q0045 4932.YNL016W 292 0 0 292
4932.Q0045 4932.YLR395C 980 933 0 998
4932.Q0045 4932.YGL226W 158 540 118 628
4932.Q0045 4932.YIL157C 457 0 220 558
4932.Q0045 4932.Q0105 872 900 266 989
4932.Q0045 4932.YNR018W 944 0 0 944
4932.Q0045 4932.YMR256C 972 900 64 997
4932.Q0045 4932.YDR119W-A 926 720 0 978
4932.Q0045 4932.YHR024C 145 0 78 177
4932.Q0045 4932.YCL017C 420 0 0 420
4932.Q0045 4932.YFR033C 800 900 0 979
4932.Q0045 4932.YNL052W 950 900 169 995
4932.Q0045 4932.YPR191W 907 900 280 992
4932.Q0045 4932.YHR051W 985 933 512 999
4932.Q0045 4932.YDL067C 926 900 0 992
4932.Q0045 4932.YKL192C 431 0 0 431
4932.Q0045 4932.Q0070 0 540 0 540
4932.Q0045 4932.Q0065 0 540 0 540
4932.Q0045 4932.YIL111W 934 900 118 993
4932.Q0045 4932.YGR183C 875 900 0 987
4932.Q0045 4932.YDR231C 457 0 0 457
4932.Q0045 4932.YGR112W 457 0 0 457
4932.Q0045 4932.YMR244C-A 186 360 0 456
4932.Q0045 4932.YDR529C 865 900 0 985
4932.Q0045 4932.YEL024W 938 900 498 996
4932.Q0045 4932.YOR065W 875 939 193 993
4932.Q0045 4932.YLR203C 457 0 0 457
4932.Q0045 4932.YPL172C 292 0 222 425
4932.Q0045 4932.YOR020C 292 0 0 292
4932.Q0045 4932.YML043C 207 0 0 207
4932.Q0045 4932.Q0085 292 0 0 292
4932.Q0045 4932.YNR017W 457 0 0 457
4932.Q0045 4932.YNR020C 457 0 0 457
4932.Q0045 4932.YGL191W 985 900 67 998
