entry,entry_name,gene_names,nucleus,cytoplasm,mitochondrion,plasma_membrane,endoplasmic_reticulum,golgi_apparatus,vacuole,zones
A0A0B7P3V8,YP41B_YEAST,TY4B-P YPLCTy4-1 POL YPL060C-A,1,1,0,0,0,0,0,"nucleus,cytoplasm"
D6VTK4,STE2_YEAST,STE2 YFL026W,0,0,0,1,0,0,0,plasma_membrane
O13297,CET1_YEAST,CET1 YPL228W P1433,0,0,0,0,0,0,0,
O13329,FOB1_YEAST,FOB1 HRM1 YDR110W YD9727.06,0,0,0,0,0,0,0,
O13516,RS9A_YEAST,RPS9A RPS13A YS11A YPL081W,0,1,0,0,0,0,0,cytoplasm
O13525,COQ4_YEAST,COQ4 YDR204W YD8142.01,0,0,1,0,0,0,0,mitochondrion
O13527,YA11B_YEAST,TY1B-A YARCTy1-1 POL YAR009C,1,1,0,0,0,0,0,"nucleus,cytoplasm"
O13535,YH11B_YEAST,TY1B-H YHRCTy1-1 POL YHR214C-B,1,1,0,0,0,0,0,"nucleus,cytoplasm"
O13539,THP2_YEAST,THP2 YHR167W,0,0,0,0,0,0,0,
O13547,CCW14_YEAST,CCW14 ICWP SSR1 YLR390W-A YLR391W-A,0,0,1,0,0,0,0,mitochondrion
O13563,RPN13_YEAST,RPN13 DAQ1 YLR421C,1,0,0,0,0,0,0,nucleus
O14455,RL36B_YEAST,RPL36B RPL39B YPL249C-A YPL249BC,0,0,0,0,0,0,0,
O14467,MBF1_YEAST,MBF1 SUF13 YOR298C-A,1,1,1,0,0,0,0,"nucleus,cytoplasm,mitochondrion"
O60200,MDM35_YEAST,MDM35 YKL053C-A,1,1,1,0,0,0,0,"nucleus,cytoplasm,mitochondrion"
O74700,TIM9_YEAST,TIM9 YEL020W-A YEL020BW,0,0,1,0,0,0,0,mitochondrion
O75012,MRP10_YEAST,MRP10 YDL045W-A,0,0,0,0,0,0,0,
O94742,SEM1_YEAST,SEM1 DSH1 YDR363W-A,0,0,0,0,0,0,0,
P00044,CYC1_YEAST,CYC1 YJR048W J1653,0,0,1,0,0,0,0,mitochondrion
P00127,QCR6_YEAST,QCR6 UCR6 YFR033C,0,0,1,0,0,0,0,mitochondrion
P00128,QCR7_YEAST,QCR7 CRO1 UCR7 YDR529C D9719.32,0,0,1,0,0,0,0,mitochondrion
