protein1,protein2,label
Q06511,Q12499,1
P38354,Q08967,0
P32626,Q12484,0
P38812,P40000,0
Q06466,Q08747,0
P40029,P54861,0
P38879,Q07508,0
P25600,Q02685,0
P32945,P40076,0
Q08446,Q12518,0
P43568,P46943,0
P42222,Q03942,0
P39731,Q12015,0
P0CX51,Q08096,1
P29311,P46982,0
P0CE99,P21705,0
P32502,P53949,0
P53962,Q12194,0
A0A023PXQ9,P32338,0
P40484,P43497,0
P34234,Q05871,0
P03874,Q06511,0
P0C0V2,P38709,0
P49167,P53927,1
P17119,P47028,0
P40092,P40303,0
P40531,Q12433,0
P38866,P39567,0
P0CL33,P38170,0
P25602,Q08604,0
P18414,P53079,0
Q07988,Q8TGT9,0
P36528,P36532,1
P32347,Q08986,0
P39979,P40440,0
P46994,P53336,0
P0CY09,P53841,0
A0A023PYE9,P53856,0
P40566,Q12498,0
P38738,Q12027,0
P43615,Q07649,0
P05453,Q6WNK7,0
P0CX18,Q08760,0
P37299,P39992,0
P13181,Q3E7Y9,0
Q08651,Q08989,0
P32610,P40525,0
P25381,Q07986,0
P23501,P53750,0
P32329,Q2V2Q3,0
P40082,P47013,0
P47022,P53247,0
P40357,Q08601,0
Q02772,Q6Q5F3,0
P38932,P87280,0
P32581,Q8TGT4,0
P38628,Q04930,0
Q07395,Q8TGP1,0
P17649,Q02336,0
P53229,P56508,0
O13577,P38338,0
A0A023PXI8,P47084,0
P40104,Q04471,0
P32343,Q8TGR5,0
P25596,P38844,0
Q04212,Q12171,0
P47083,Q08421,0
P25555,P53186,0
Q12060,Q12259,0
Q03649,Q08984,0
P53943,P54857,0
P19880,P40031,0
P25652,P47103,0
P11484,P53216,0
P43633,P53330,0
P29311,P53302,0
P16522,P53844,0
P15424,Q03219,0
P53832,Q03246,0
P43123,Q07824,0
P0CX37,P20459,1
P34224,P38186,0
P38690,P43636,0
P53173,P53228,0
P0C261,P38787,0
P39929,P53957,0
P38985,P39974,0
P32263,Q07350,0
P32526,P53070,0
P40963,Q04898,0
P28737,P39958,0
P53175,Q12306,0
P38831,Q01080,0
P34252,P38615,0
P40524,Q12354,0
P36154,Q7LHD1,0
P36145,P53199,0
P25569,Q12515,0
P48525,Q06150,0
P20795,Q04338,1
P25294,P53320,0
P43634,Q05510,0
P40207,Q12368,0
Q02969,Q12122,0
P25612,P40885,0
P38236,P38316,0
P39567,P53043,0
P38707,P39005,0
P00128,P53859,0
P38872,Q12181,0
P38857,Q12013,0
Q03162,Q12510,0
A0A023PZG5,P46955,0
P36054,P54964,0
P32288,P39715,0
O13518,P38772,0
P0CL31,Q03079,0
P01098,P38128,0
A0A023PYD7,Q99257,0
P0CX44,Q07896,1
Q04116,Q12184,0
P21771,P32902,1
P22517,P53314,0
P36082,P38173,0
P47132,Q3E840,0
P53075,Q03049,0
P47051,Q12404,0
P22139,Q04779,0
P06700,Q08270,0
P32367,P38201,0
Q02892,Q12010,0
P06787,P25591,0
P06367,P54780,1
P04911,Q12418,0
P0CX88,P38224,0
P42951,P48527,0
P05150,P38243,0
P0CX46,P33442,1
O14464,P0CX82,0
P33315,P39995,0
P08153,Q12114,0
P05747,P40525,1
