Entry	Entry Name	Gene Names	Length	Gene Ontology (cellular component)
A0A0B7P3V8	YP41B_YEAST	TY4B-P YPLCTy4-1 POL YPL060C-A	1104	cytoplasm [GO:0005737]; nucleus [GO:0005634]
D6VTK4	STE2_YEAST	STE2 YFL026W	431	G protein-coupled receptor homodimeric complex [GO:0038038]; plasma membrane [GO:0005886]
O13297	CET1_YEAST	CET1 YPL228W P1433	549	mRNA capping enzyme complex [GO:0031533]
O13329	FOB1_YEAST	FOB1 HRM1 YDR110W YD9727.06	566	nucleolus [GO:0005730]; rDNA heterochromatin [GO:0033553]
O13516	RS9A_YEAST	RPS9A RPS13A YS11A YPL081W	197	90S preribosome [GO:0030686]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; nucleoplasm [GO:0005654]; small-subunit processome [GO:0032040]
O13525	COQ4_YEAST	COQ4 YDR204W YD8142.01	335	extrinsic component of mitochondrial inner membrane [GO:0031314]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
O13527	YA11B_YEAST	TY1B-A YARCTy1-1 POL YAR009C	1196	cytoplasm [GO:0005737]; nucleus [GO:0005634]
O13535	YH11B_YEAST	TY1B-H YHRCTy1-1 POL YHR214C-B	1793	cytoplasm [GO:0005737]; nucleus [GO:0005634]
O13539	THP2_YEAST	THP2 YHR167W	261	nucleoplasmic THO complex [GO:0000446]; THO complex [GO:0000347]; THO complex part of transcription export complex [GO:0000445]; transcription export complex [GO:0000346]
O13547	CCW14_YEAST	CCW14 ICWP SSR1 YLR390W-A YLR391W-A	238	cell periphery [GO:0071944]; fungal-type cell wall [GO:0009277]; mitochondrion [GO:0005739]; side of membrane [GO:0098552]
O13563	RPN13_YEAST	RPN13 DAQ1 YLR421C	156	nucleus [GO:0005634]; proteasome complex [GO:0000502]; proteasome regulatory particle, lid subcomplex [GO:0008541]; proteasome storage granule [GO:0034515]
O14455	RL36B_YEAST	RPL36B RPL39B YPL249C-A YPL249BC	100	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]
O14467	MBF1_YEAST	MBF1 SUF13 YOR298C-A	151	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
O60200	MDM35_YEAST	MDM35 YKL053C-A	86	cytoplasm [GO:0005737]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
O74700	TIM9_YEAST	TIM9 YEL020W-A YEL020BW	87	mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial intermembrane space chaperone complex [GO:0042719]; mitochondrion [GO:0005739]; TIM22 mitochondrial import inner membrane insertion complex [GO:0042721]
O75012	MRP10_YEAST	MRP10 YDL045W-A	95	mitochondrial inner membrane [GO:0005743]; mitochondrial small ribosomal subunit [GO:0005763]
O94742	SEM1_YEAST	SEM1 DSH1 YDR363W-A	89	cytosol [GO:0005829]; proteasome complex [GO:0000502]; proteasome regulatory particle, lid subcomplex [GO:0008541]; proteasome storage granule [GO:0034515]; transcription export complex 2 [GO:0070390]
P00044	CYC1_YEAST	CYC1 YJR048W J1653	109	mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]
P00127	QCR6_YEAST	QCR6 UCR6 YFR033C	147	mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; nuclear periphery [GO:0034399]; respiratory chain complex III [GO:0045275]
P00128	QCR7_YEAST	QCR7 CRO1 UCR7 YDR529C D9719.32	127	matrix side of mitochondrial inner membrane [GO:0099617]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex III [GO:0045275]
P00163	CYB_YEAST	COB CYTB Q0105	385	membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex III [GO:0045275]
P00175	CYB2_YEAST	CYB2 YML054C YM9958.08C	591	cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
P00330	ADH1_YEAST	ADH1 ADC1 YOL086C O0947	348	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
P00331	ADH2_YEAST	ADH2 ADR2 YMR303C YM9952.05C	348	cytoplasm [GO:0005737]
P00358	G3P2_YEAST	TDH2 GPD2 YJR009C J1433	332	cytoplasm [GO:0005737]; cytosol [GO:0005829]; fungal-type cell wall [GO:0009277]; lipid droplet [GO:0005811]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
